sepal_length,sepal_width,petal_length,petal_width,species,sepal_length_capped,petal_area,sepal_ratio,is_large_petal
5.5,4.2,1.4,0.2,setosa,5.5,0.27999999999999997,1.3095238095238095,0
4.9,3.1,1.5,0.2,setosa,4.9,0.30000000000000004,1.5806451612903227,0
5.0,3.2,1.2,0.2,setosa,5.0,0.24,1.5625,0
5.5,3.5,1.3,0.2,setosa,5.5,0.26,1.5714285714285714,0
4.9,3.6,1.4,0.1,setosa,4.9,0.13999999999999999,1.3611111111111112,0
4.4,3.0,1.3,0.2,setosa,4.4,0.26,1.4666666666666668,0
5.1,3.4,1.5,0.2,setosa,5.1,0.30000000000000004,1.5,0
5.0,3.5,1.3,0.3,setosa,5.0,0.39,1.4285714285714286,0
4.5,2.3,1.3,0.3,setosa,4.5,0.39,1.956521739130435,0
4.4,3.2,1.3,0.2,setosa,4.4,0.26,1.375,0
5.0,3.5,1.6,0.6,setosa,5.0,0.96,1.4285714285714286,0
5.1,3.8,1.9,0.4,setosa,5.1,0.76,1.3421052631578947,0
4.8,3.0,1.4,0.3,setosa,4.8,0.42,1.5999999999999999,0
5.1,3.8,1.6,0.2,setosa,5.1,0.32000000000000006,1.3421052631578947,0
4.6,3.2,1.4,0.2,setosa,4.6,0.27999999999999997,1.4374999999999998,0
5.3,3.7,1.5,0.2,setosa,5.3,0.30000000000000004,1.4324324324324322,0
5.0,3.3,1.4,0.2,setosa,5.0,0.27999999999999997,1.5151515151515151,0
7.0,3.2,4.7,1.4,versicolor,7.0,6.58,2.1875,1
6.4,3.2,4.5,1.5,versicolor,6.4,6.75,2.0,1
6.9,3.1,4.9,1.5,versicolor,6.9,7.3500000000000005,2.2258064516129035,1
5.5,2.3,4.0,1.3,versicolor,5.5,5.2,2.3913043478260874,0
6.5,2.8,4.6,1.5,versicolor,6.5,6.8999999999999995,2.3214285714285716,1
5.7,2.8,4.5,1.3,versicolor,5.7,5.8500000000000005,2.035714285714286,1
6.3,3.3,4.7,1.6,versicolor,6.3,7.5200000000000005,1.9090909090909092,1
4.9,2.4,3.3,1.0,versicolor,4.9,3.3,2.041666666666667,0
6.6,2.9,4.6,1.3,versicolor,6.6,5.9799999999999995,2.2758620689655173,1
5.2,2.7,3.9,1.4,versicolor,5.2,5.46,1.9259259259259258,0
5.0,2.0,3.5,1.0,versicolor,5.0,3.5,2.5,0
5.9,3.0,4.2,1.5,versicolor,5.9,6.300000000000001,1.9666666666666668,1
6.0,2.2,4.0,1.0,versicolor,6.0,4.0,2.727272727272727,0
6.1,2.9,4.7,1.4,versicolor,6.1,6.58,2.103448275862069,1
5.6,2.9,3.6,1.3,versicolor,5.6,4.680000000000001,1.9310344827586206,0
6.7,3.1,4.4,1.4,versicolor,6.7,6.16,2.161290322580645,1
5.6,3.0,4.5,1.5,versicolor,5.6,6.75,1.8666666666666665,1
5.8,2.7,4.1,1.0,versicolor,5.8,4.1,2.148148148148148,0
6.2,2.2,4.5,1.5,versicolor,6.2,6.75,2.818181818181818,1
5.6,2.5,3.9,1.1,versicolor,5.6,4.29,2.2399999999999998,0
5.9,3.2,4.8,1.8,versicolor,5.9,8.64,1.84375,1
6.1,2.8,4.0,1.3,versicolor,6.1,5.2,2.1785714285714284,0
6.3,2.5,4.9,1.5,versicolor,6.3,7.3500000000000005,2.52,1
6.1,2.8,4.7,1.2,versicolor,6.1,5.64,2.1785714285714284,0
6.4,2.9,4.3,1.3,versicolor,6.4,5.59,2.206896551724138,0
6.6,3.0,4.4,1.4,versicolor,6.6,6.16,2.1999999999999997,1
6.8,2.8,4.8,1.4,versicolor,6.8,6.72,2.428571428571429,1
6.7,3.0,5.0,1.7,versicolor,6.7,8.5,2.2333333333333334,1
6.0,2.9,4.5,1.5,versicolor,6.0,6.75,2.0689655172413794,1
5.7,2.6,3.5,1.0,versicolor,5.7,3.5,2.1923076923076925,0
5.5,2.4,3.8,1.1,versicolor,5.5,4.18,2.291666666666667,0
5.5,2.4,3.7,1.0,versicolor,5.5,3.7,2.291666666666667,0
5.8,2.7,3.9,1.2,versicolor,5.8,4.68,2.148148148148148,0
6.0,2.7,5.1,1.6,versicolor,6.0,8.16,2.222222222222222,1
5.4,3.0,4.5,1.5,versicolor,5.4,6.75,1.8,1
6.0,3.4,4.5,1.6,versicolor,6.0,7.2,1.7647058823529411,1
6.7,3.1,4.7,1.5,versicolor,6.7,7.050000000000001,2.161290322580645,1
6.3,2.3,4.4,1.3,versicolor,6.3,5.720000000000001,2.739130434782609,0
5.6,3.0,4.1,1.3,versicolor,5.6,5.33,1.8666666666666665,0
5.5,2.5,4.0,1.3,versicolor,5.5,5.2,2.2,0
5.5,2.6,4.4,1.2,versicolor,5.5,5.28,2.1153846153846154,0
6.1,3.0,4.6,1.4,versicolor,6.1,6.4399999999999995,2.033333333333333,1
5.8,2.6,4.0,1.2,versicolor,5.8,4.8,2.230769230769231,0
5.0,2.3,3.3,1.0,versicolor,5.0,3.3,2.173913043478261,0
5.6,2.7,4.2,1.3,versicolor,5.6,5.460000000000001,2.074074074074074,0
5.7,3.0,4.2,1.2,versicolor,5.7,5.04,1.9000000000000001,0
5.7,2.9,4.2,1.3,versicolor,5.7,5.460000000000001,1.9655172413793105,0
6.2,2.9,4.3,1.3,versicolor,6.2,5.59,2.137931034482759,0
5.1,2.5,3.0,1.1,versicolor,5.1,3.3000000000000003,2.04,0
5.7,2.8,4.1,1.3,versicolor,5.7,5.33,2.035714285714286,0
6.3,3.3,6.0,2.5,virginica,6.3,15.0,1.9090909090909092,1
5.8,2.7,5.1,1.9,virginica,5.8,9.69,2.148148148148148,1
7.1,3.0,5.9,2.1,virginica,7.1,12.39,2.3666666666666667,1
6.3,2.9,5.6,1.8,virginica,6.3,10.08,2.1724137931034484,1
6.5,3.0,5.8,2.2,virginica,6.5,12.76,2.1666666666666665,1
7.6,3.0,6.6,2.1,virginica,7.6,13.86,2.533333333333333,1
4.9,2.5,4.5,1.7,virginica,4.9,7.6499999999999995,1.9600000000000002,1
7.3,2.9,6.3,1.8,virginica,7.3,11.34,2.5172413793103448,1
6.7,2.5,5.8,1.8,virginica,6.7,10.44,2.68,1
7.2,3.6,6.1,2.5,virginica,7.2,15.25,2.0,1
6.5,3.2,5.1,2.0,virginica,6.5,10.2,2.03125,1
6.4,2.7,5.3,1.9,virginica,6.4,10.069999999999999,2.3703703703703702,1
6.8,3.0,5.5,2.1,virginica,6.8,11.55,2.2666666666666666,1
5.7,2.5,5.0,2.0,virginica,5.7,10.0,2.2800000000000002,1
5.8,2.8,5.1,2.4,virginica,5.8,12.239999999999998,2.0714285714285716,1
6.4,3.2,5.3,2.3,virginica,6.4,12.19,2.0,1
6.5,3.0,5.5,1.8,virginica,6.5,9.9,2.1666666666666665,1
7.7,3.8,6.7,2.2,virginica,7.7,14.740000000000002,2.0263157894736845,1
7.7,2.6,6.9,2.3,virginica,7.7,15.87,2.9615384615384617,1
6.0,2.2,5.0,1.5,virginica,6.0,7.5,2.727272727272727,1
6.9,3.2,5.7,2.3,virginica,6.9,13.11,2.15625,1
5.6,2.8,4.9,2.0,virginica,5.6,9.8,2.0,1
7.7,2.8,6.7,2.0,virginica,7.7,13.4,2.7500000000000004,1
6.3,2.7,4.9,1.8,virginica,6.3,8.82,2.333333333333333,1
6.7,3.3,5.7,2.1,virginica,6.7,11.97,2.0303030303030303,1
7.2,3.2,6.0,1.8,virginica,7.2,10.8,2.25,1
6.2,2.8,4.8,1.8,virginica,6.2,8.64,2.2142857142857144,1
6.1,3.0,4.9,1.8,virginica,6.1,8.82,2.033333333333333,1
6.4,2.8,5.6,2.1,virginica,6.4,11.76,2.285714285714286,1
7.2,3.0,5.8,1.6,virginica,7.2,9.28,2.4,1
7.4,2.8,6.1,1.9,virginica,7.4,11.589999999999998,2.6428571428571432,1
7.9,3.8,6.4,2.0,virginica,7.9,12.8,2.0789473684210527,1
6.4,2.8,5.6,2.2,virginica,6.4,12.32,2.285714285714286,1
6.3,2.8,5.1,1.5,virginica,6.3,7.6499999999999995,2.25,1
6.1,2.6,5.6,1.4,virginica,6.1,7.839999999999999,2.346153846153846,1
7.7,3.0,6.1,2.3,virginica,7.7,14.029999999999998,2.566666666666667,1
6.3,3.4,5.6,2.4,virginica,6.3,13.44,1.8529411764705883,1
6.4,3.1,5.5,1.8,virginica,6.4,9.9,2.064516129032258,1
6.0,3.0,4.8,1.8,virginica,6.0,8.64,2.0,1
6.9,3.1,5.4,2.1,virginica,6.9,11.340000000000002,2.2258064516129035,1
6.7,3.1,5.6,2.4,virginica,6.7,13.44,2.161290322580645,1
6.9,3.1,5.1,2.3,virginica,6.9,11.729999999999999,2.2258064516129035,1
5.8,2.7,5.1,1.9,virginica,5.8,9.69,2.148148148148148,1
6.8,3.2,5.9,2.3,virginica,6.8,13.57,2.125,1
6.7,3.3,5.7,2.5,virginica,6.7,14.25,2.0303030303030303,1
6.7,3.0,5.2,2.3,virginica,6.7,11.959999999999999,2.2333333333333334,1
6.3,2.5,5.0,1.9,virginica,6.3,9.5,2.52,1
6.5,3.0,5.2,2.0,virginica,6.5,10.4,2.1666666666666665,1
6.2,3.4,5.4,2.3,virginica,6.2,12.42,1.823529411764706,1
5.9,3.0,5.1,1.8,virginica,5.9,9.18,1.9666666666666668,1
